"Capital the pipeline might eventually allocate, USD","$100,000,000",owner,"'Hundreds of millions' — modelled at 100m, conservatively."
Allocation improvement a validated filter buys,1%,assumption,One percent. Deliberately timid.
Annual discount rate,5%,assumption,

CALCULATION
Section,Step,Formula,Value
1. Funnel,People reached,input,"3,000"
1. Funnel,Finish chapter 1,"3,000 × 35%","1,050"
1. Funnel,Submit a forecast,"1,050 × 20%",210
1. Funnel,Funded,"min(50, 210)",50
1. Funnel,Selection ratio,50 ÷ 210,23.8%
1. Funnel,Finishers who get nothing,"1,050 − 50","1,000"
2. Cost,Grants,"50 × $1,000","$50,000"
2. Cost,Recruitment,"3,000 × $2.00","$6,000"
2. Cost,Six-month reviews,50 × $150,"$7,500"
2. Cost,Hosting,input,$200
2. Cost,Platform build (one-off),"input — AI-built, not a dev team",$100
2. Cost,AI marking,210 × $0.01,$2.10
2. Cost,Subtotal,sum of the above,"$63,802"
2. Cost,Administration,subtotal × 15%,"$9,570"
2. Cost,TOTAL COST,subtotal + administration,"$73,372"
3. Benefit — transformational firms,Transformational firms,50 × 6%,3.0
3. Benefit — transformational firms,Jobs at the grant,input,5
3. Benefit — transformational firms,Annual income gain per job,input,$600
3. Benefit — transformational firms,"Wage bill, year 1",5 × $600,"$3,000"
3. Benefit — transformational firms,"PV factor — grows 12%, survives 92%, 15y",sum of ((1+g)·s/(1+d))^t,12.5619
3. Benefit — transformational firms,PV of wages,wage bill × PV factor,"$37,686"
3. Benefit — transformational firms,+ owner's own income (35% of wages),× 0.35,"$13,190"
3. Benefit — transformational firms,"+ tax paid (25% of wages, valued at 1)",× 0.25 × 1,"$9,421"
3. Benefit — transformational firms,+ local supplier income (30% of wages),× 0.30,"$11,306"
3. Benefit — transformational firms,Gross PV per firm,sum of the four components,"$71,603"
3. Benefit — transformational firms,less displacement (15%),× 0.85,"$60,863"
3. Benefit — transformational firms,less counterfactual (50%),× 0.50,"$30,431"
3. Benefit — transformational firms,STREAM TOTAL,"3.0 firms × $30,431","$91,294"
4. Benefit — other funded firms,Firms,50 − 3.0,47.0
4. Benefit — other funded firms,Annual gain each,input,$450
4. Benefit — other funded firms,"PV factor — survives 85%, 8y",sum of (s/(1+d))^t,4.0778
4. Benefit — other funded firms,less displacement (40%),× 0.60,—
4. Benefit — other funded firms,less counterfactual (20%),× 0.80,—
4. Benefit — other funded firms,STREAM TOTAL,firms × gain × PV factor × adjustments,"$41,398"
"5. Benefit — learning, unfunded finishers",People,"1,050 − 50","1,000"
"5. Benefit — learning, unfunded finishers",Annual gain each,input,$12
"5. Benefit — learning, unfunded finishers","PV factor, 2y",annuity at 5%,1.8594
"5. Benefit — learning, unfunded finishers",Uncertainty haircut (50%),× 0.50,—
"5. Benefit — learning, unfunded finishers",STREAM TOTAL,people × gain × PV factor × haircut,"$11,156"
6. Cash benchmark,Transfer,input,"$1,000"
6. Cash benchmark,Annual income gain,input (unverified),$270
6. Cash benchmark,"PV factor, 3y",annuity at 5%,2.7232
6. Cash benchmark,PV income per $1 of cash,"($270 × 2.7232) ÷ $1,000",0.735
7. Result,Total PV benefit,streams 3 + 4 + 5,"$143,848"
7. Result,Total cost,from section 2,"$73,372"
7. Result,PV income per $1 spent,"$143,848 ÷ $73,372",1.961
7. Result,Multiple of cash,1.961 ÷ 0.735,2.67×
7. Result,GiveWell funding bar,sourced,6×
7. Result,Hit rate to match cash,solve for p_transform,0.1%
7. Result,Hit rate to clear the bar,solve for 6× cash,17.8%
7. Result,Cost per transformational firm,"$73,372 ÷ 3.0","$24,457"

SENSITIVITY — benefit/cost ratio across each parameter's range
Parameter,Low,Ratio at low,High,Ratio at high,Swing
Annual growth in jobs,0.0,1.373,0.25,3.603,2.229
Share of funded firms that become transformational,0.02,1.155,0.12,3.169,2.014
Jobs at the point of the grant,2,1.214,10,3.205,1.991
"Annual survival probability, transformational firm",0.8,1.300,0.97,2.532,1.232
"Annual income gain per job, USD",400,1.546,900,2.583,1.037
Share of transformational outcomes that would have happened anyway,0.7,1.463,0.3,2.458,0.995
"Horizon, transformational firm",8,1.423,20,2.303,0.880
"Annual income gain, non-transformational funded firm, USD",200,1.647,700,2.274,0.627
Displacement share — transformational firm,0.4,1.595,0.05,2.107,0.512
"Local supplier income gain, as a share of the wage bill",0.0,1.764,0.6,2.157,0.393
"Owner's own net income gain, as a share of the wage bill",0.0,1.731,0.6,2.124,0.393
"Recruitment cost per stage-0 start, USD",5.0,1.718,0.5,2.109,0.391
"One-off build: portal, backend, AI judge, USD",40000,1.206,15000,1.589,0.383
"Annual income gain per unfunded finisher, USD",0,1.808,30,2.189,0.380
"Annual survival probability, other funded firm",0.7,1.776,0.93,2.113,0.336
"Tax paid, as a share of the wage bill",0.0,1.797,0.5,2.124,0.327
Share of starts that finish chapter 1,0.2,1.892,0.5,2.029,0.137
Share of finishers who submit a forecast,0.1,1.961,0.35,1.960,0.000
